County,HOUSING OCCUPANCY Total housing units,UNITS IN STRUCTURE Total housing units,"UNITS IN STRUCTURE 1-unit, detached","UNITS IN STRUCTURE 1-unit, attached",UNITS IN STRUCTURE 2 units,UNITS IN STRUCTURE 3 or 4 units,UNITS IN STRUCTURE 5 to 9 units,UNITS IN STRUCTURE 10 to 19 units,UNITS IN STRUCTURE 20 or more units,YEAR STRUCTURE BUILT Built 2020 or later,YEAR STRUCTURE BUILT Built 2010 to 2019,YEAR STRUCTURE BUILT Built 2000 to 2009,YEAR STRUCTURE BUILT Built 1990 to 1999,YEAR STRUCTURE BUILT Built 1980 to 1989,YEAR STRUCTURE BUILT Built 1970 to 1979,YEAR STRUCTURE BUILT Built 1960 to 1969,YEAR STRUCTURE BUILT Built 1950 to 1959,YEAR STRUCTURE BUILT Built 1940 to 1949,YEAR STRUCTURE BUILT Built 1939 or earlier,BEDROOMS Total housing units,BEDROOMS No bedroom,BEDROOMS 1 bedroom,BEDROOMS 2 bedrooms,BEDROOMS 3 bedrooms,BEDROOMS 4 bedrooms,BEDROOMS 5 or more bedrooms,HOUSING TENURE Occupied housing units,HOUSING TENURE Owner-occupied,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2021 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2018 to 2020,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2017,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1989 and earlier,SELECTED CHARACTERISTICS Occupied housing units,VALUE Owner-occupied units (total num units),"VALUE (owner occupied) Less than $50,000","VALUE (owner occupied) $50,000 to $99,999","VALUE (owner occupied) $100,000 to $149,999","VALUE (owner occupied) $150,000 to $199,999","VALUE (owner occupied) $200,000 to $299,999","VALUE (owner occupied) $300,000 to $499,999","VALUE (owner occupied) $500,000 to $999,999","VALUE (owner occupied) $1,000,000 or more",VALUE (owner occupied) Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Housing units with a mortgage,MORTGAGE STATUS Housing units without a mortgage
Ector,70135,70135,42334,1367,0,964,3856,3809,4741,2970,12138,5585,6309,9725,10074,5366,12917,3399,1652,70135,2033,8658,16028,33164,9496,756,66937,43278,23659,66937,21399,12683,15622,7716,4575,4942,66937,43278,5606,5569,4566,6329,11368,7161,2372,307,196500,43278,20134,23144
Ellis,78763,78763,62300,1312,1031,2116,504,2180,3594,10085,18072,15554,8130,9662,6046,2670,2995,1899,3650,78763,709,4297,13244,36005,20924,3584,75570,56467,19103,75570,22583,17049,16211,9793,6075,3859,75570,56467,2912,1778,2473,2396,9260,23646,11779,2223,366500,56467,35708,20759
El,326149,326149,223340,10424,6781,15283,18431,13876,19401,9691,55480,50929,40125,48054,47380,23342,29964,9093,12091,326149,10187,26871,62324,149014,65867,11886,301198,190745,110453,301198,87381,53714,57836,43768,25854,32645,301198,190745,10437,15809,37386,38106,55652,25695,6529,1131,191100,190745,97244,93501
Fort,318065,318065,265427,6229,1202,3140,4488,8187,23681,27163,95107,82018,39213,37303,25357,5246,3923,1213,1522,318065,4275,20497,29578,99485,123926,40304,303900,234554,69346,303900,87520,57862,82490,47904,17859,10265,303900,234554,7093,2152,3934,9217,45770,98707,61876,5805,384100,234554,146652,87902
Galveston,164232,164232,118127,2910,2240,4932,4370,8298,16199,6383,32078,30045,18258,21710,20208,15291,8663,2511,9085,164232,4784,18049,33415,63224,37890,6870,142199,96862,45337,142199,41422,29472,34713,20999,8175,7418,142199,96862,4478,2770,4661,8254,24952,33906,15670,2171,315000,96862,56428,40434
Grayson,64132,64132,47896,1271,1685,1099,2209,1605,2273,3543,8386,6929,7950,7375,8362,7988,6678,3235,3686,64132,1249,3906,14504,30910,11216,2347,56267,37211,19056,56267,20504,11915,10277,6275,3207,4089,56267,37211,2061,2532,3051,4098,8453,12163,3922,931,281700,37211,17696,19515
Gregg,54275,54275,33561,876,3424,2747,2222,1632,4797,884,6796,6844,4243,8303,12082,6932,4283,2147,1761,54275,859,5649,11850,29094,6006,817,47550,28378,19172,47550,15160,8386,9102,6202,5273,3427,47550,28378,2196,4401,3835,3927,8630,4425,568,396,197700,28378,13228,15150
Guadalupe,72231,72231,58519,217,372,1384,703,1231,2948,8059,17175,17204,9469,7755,5541,2610,1115,1329,1974,72231,299,2300,11080,34670,19835,4047,69236,56054,13182,69236,19686,15257,15672,10133,4766,3722,69236,56054,3481,2524,2010,2892,12951,25499,5409,1288,325000,56054,35747,20307
Harris,1952822,1952822,1099276,75345,29873,66271,94969,169069,368508,81043,319366,349473,226158,281085,315275,157678,126083,48862,47799,1952822,91489,335962,416909,632824,389831,85807,1791013,988178,802835,1791013,619355,338676,361387,262727,118411,90457,1791013,988178,41554,33712,57747,101428,299251,295476,116529,42481,287100,988178,566392,421786
Harrison,30094,30094,22715,229,671,573,363,168,589,557,3862,4456,3105,3451,4619,2611,2185,2980,2268,30094,443,652,6323,17361,5040,275,26811,19523,7288,26811,5598,3860,6714,5741,1757,3141,26811,19523,2285,3278,2136,1993,3840,3921,1320,750,201900,19523,10059,9464
